country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Jamaica,25,,,18,,,21,11,3,,6,6,,,,17,20,69,206
Jordan,,,,,,,,,,,,,,58,,,,,
Japan,61.8k,50.1k,59.9k,62.4k,55.3k,63.3k,59.4k,36.1k,92.1k,88.4k,82.4k,109k,215k,148k,141k,150k,126k,122k,120k
Kazakhstan,,,,,,,,,,,1350,1280,1160,1530,1190,1550,1420,1280,
Kenya,122,98,107,113,76,97,38,47,58,54,75,59,132,79,101,94,117,100,
Kyrgyz Republic,,,,,,,,,,,83,133,125,133,105,93,104,60,65
Kiribati,,,,,,,,,,,,,,,,2,,,
South Korea,2370,2270,1890,2330,2170,3970,7760,8690,10.5k,11.4k,11.7k,12.5k,16.5k,24.6k,,62.6k,35k,34.7k,45.3k
Kuwait,,,,,,,,,,107,,,,,,,,,
Liberia,,,,,,,,17,,30,,,,,,,,,
St. Lucia,1,,,,,,2,,1,,,,4,,,,,7,
Liechtenstein,,,,,,,,,,,,,,,,,,,20.9k
Sri Lanka,105,112,97,124,127,110,134,104,58,85,66,159,205,160,,,,,
Lesotho,,,,,,21,23,29,25,34,54,51,90,26,36,43,80,70,
Lithuania,,,,,,,,,13,383,405,494,466,183,165,440,798,1210,1920
Luxembourg,554,3930,4920,4580,5190,6170,6750,7340,8680,10.3k,11.6k,10.4k,9240,8980,8020,7490,5900,7490,12.2k
Latvia,,,,,,,,,,355,374,628,775,403,297,353,644,1100,1650
"Macao, China",,,,,,,,,,2,4,2,4,19,4,9,1,,
Morocco,333,313,255,296,299,276,311,303,372,352,329,354,327,,,,,,
Monaco,50,66,106,71,81,147,84,49,89,115,253,1210,2480,3790,4060,4140,3500,4590,8990
Moldova,,,,,,,,,,,39,227,235,225,220,231,234,226,230
Madagascar,,,,,,,,,,,,25,30,,,35,,51,15
Mexico,1740,1370,1220,1410,3410,2270,1750,1360,3160,6180,4370,3540,3190,3940,3220,3900,5530,5480,6620
North Macedonia,,,,,,,,,,,94,163,95,79,80,55,86,240,679
Malta,30,20,13,12,11,8,10,24,12,20,20,19,12,2,28,35,89,97,125
Mongolia,2,31,24,44,37,47,38,38,33,50,103,117,112,116,172,161,,176,163
Mauritius,13,4,9,5,2,6,13,11,9,4,3,3,4,1,3,,,,
Malawi,41,44,28,48,99,74,62,74,57,50,79,73,117,49,76,84,110,151,2
Malaysia,,1150,,,,110,512,,1130,1280,1630,1750,,786,,,,,
Namibia,,,,,,,139,124,,102,,,,,,,,,
Nigeria,,,,,,,170,,,,,,,,,,,,
Nicaragua,27,25,2,,,,,,4,2,,32,,38,18,12,136,,
Netherlands,10.3k,12k,13.9k,12.6k,13.9k,15.3k,16.8k,17.6k,20.4k,23.3k,24.7k,23.4k,22.6k,23.8k,22.4k,21.4k,17.1k,20.6k,27.5k
Norway,1930,2170,1820,2150,2450,2920,2670,2820,3000,2610,2320,2010,1860,2940,2560,2360,2410,2450,
Nepal,,,,,,3,,,6,2,,1,,,,,,,
New Zealand,1910,1730,3040,2510,2710,2840,3480,3600,2990,2890,2670,2640,2770,3820,4060,2460,4590,3540,2550
Pakistan,,,,,,,380,524,436,476,503,474,539,,,,381,350,
Panama,139,72,44,40,54,5,35,46,40,26,38,80,38,,,,15,,
Peru,81,155,326,333,154,,165,193,260,114,235,,181,180,,271,308,,
Philippines,1130,1280,,,,1100,1090,944,,,,,778,916,565,648,566,,
Poland,4190,4470,3690,4060,3250,3000,3650,3790,3850,2940,2560,2610,2570,2330,2420,2240,2460,2020,2270
North Korea,,,2480,2570,2680,2660,2680,37,27,,,,,,,,,,
Portugal,637,960,4040,1720,929,1240,563,453,1250,1690,1780,3040,4810,7230,8950,8490,6350,8570,13.8k
Paraguay,21,8,,,96,44,35,,24,26,,,,,,,,,
Romania,2590,2790,2750,2850,2920,2910,1430,2130,2100,1710,1800,1860,1860,1420,1820,1080,1320,1510,2360
Russia,,,,,,,,,7900,13.2k,20.6k,25.6k,19.7k,29.7k,23.4k,19.5k,17.6k,16.3k,18.1k
Rwanda,6,1,1,2,6,1,4,1,2,,3,,,,,4,,,
Saudi Arabia,,,,,,,,,,,,3,2,2,3,16,8,10,25
Serbia and Montenegro,,,,,,,,,375,283,674,510,337,293,342,175,8,154,221
Sudan,,1,1,5,18,26,36,37,56,34,55,49,97,37,64,59,97,79,
Singapore,,416,,,,1060,1240,1090,1280,1400,1770,1970,3330,,2290,4410,5090,,7580
Solomon Islands,12,4,8,6,2,1,,,,,,,,,,,,,
Sierra Leone,12,,,,,,,,,,,5,,,,1,,4,
El Salvador,77,70,,,,6,12,6,24,61,78,61,,,,,,,
Somalia,8,7,,,,,,,,,,,,,,,,,
Slovak Republic,,,,,,,,,,4,138,381,198,562,845,773,894,1040,803
Slovenia,,,,,,,,,33,379,604,380,515,623,466,871,1280,1860,2800
Sweden,11.7k,13.5k,14.9k,13.8k,15.4k,15.9k,15.9k,16.8k,18.7k,21.1k,22.9k,20.8k,19k,19.4k,18.5k,17.6k,13.8k,14.9k,24.6k
Eswatini,35,30,,,,5,21,28,70,33,52,45,91,34,63,57,85,70,
Seychelles,1,2,,,5,,,,,,,1,6,,,,,,
Syria,,,,,,,,,,,,,49,,,,50,62,
Thailand,20,45,52,71,86,164,141,153,199,451,674,,884,729,723,,541,,
Tajikistan,,,,,,,,,,,,,77,109,57,42,43,,27
Turkmenistan,,,,,,,,,,,,,,206,154,95,,,
Trinidad and Tobago,,,,,55,,,,67,91,84,87,119,171,,,,,17
Tunisia,,,18,,,381,522,180,,138,142,141,146,,,,,,
Turkey,410,385,283,319,372,481,486,694,674,804,1100,722,601,458,796,1120,1160,2140,1890
